"","day","month","year","flow","hyear","baseflow","date"
"1136",27,7,1995,0.00048,1995,0.000258333333333333,1995-07-27
"1137",28,7,1995,0.00031,1995,0.000249166666666667,1995-07-28
"1138",29,7,1995,0.00024,1995,0.00024,1995-07-29
"1139",30,7,1995,0.00066,1995,0.000255833333333333,1995-07-30
"1140",31,7,1995,0.00135,1995,0.000271666666666667,1995-07-31
"1141",1,8,1995,0.00177,1995,0.0002875,1995-08-01
"1142",2,8,1995,0.00177,1995,0.000303333333333333,1995-08-02
"1143",3,8,1995,0.00266,1995,0.000319166666666667,1995-08-03
"1144",4,8,1995,0.00208,1995,0.000335,1995-08-04
"1145",5,8,1995,0.0016,1995,0.000350833333333333,1995-08-05
"1146",6,8,1995,0.00149,1995,0.000366666666666667,1995-08-06
"1147",7,8,1995,0.00135,1995,0.0003825,1995-08-07
"1148",8,8,1995,0.00059,1995,0.000398333333333333,1995-08-08
"1149",9,8,1995,0.00046,1995,0.000414166666666667,1995-08-09
"1150",10,8,1995,0.00043,1995,0.00043,1995-08-10
"1151",11,8,1995,0.00044,1995,0.00044,1995-08-11
"1152",12,8,1995,0.00048,1995,0.000450893470790378,1995-08-12
"1153",13,8,1995,0.00048,1995,0.000461340206185567,1995-08-13
"1154",14,8,1995,0.00087,1995,0.000471786941580756,1995-08-14
"1155",15,8,1995,0.000884912280701754,1995,NA,1995-08-15
"1156",16,8,1995,0.000899824561403509,1995,NA,1995-08-16
"1157",17,8,1995,0.000914736842105263,1995,NA,1995-08-17
"1158",18,8,1995,0.000929649122807018,1995,NA,1995-08-18
