"","site.name","LTER","year","slope","pvalue","n","sig","sig_slopes","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig","mblm_n"
"69","GSMACK","AND",2001,-8.83994442411367,2.69481702856593e-07,17,"sig",-8.83994442411367,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"70","GSMACK","AND",2002,-7.61453411224428,5.61248421210422e-05,16,"sig",-7.61453411224428,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"71","GSMACK","AND",2003,-7.25674091722486,1.13534187123711e-07,18,"sig",-7.25674091722486,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"72","GSMACK","AND",2004,-7.2369512948091,2.74512822066763e-07,17,"sig",-7.2369512948091,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"73","GSMACK","AND",2005,-3.15514090579515,0.00265798346751457,18,"sig",-3.15514090579515,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"74","GSMACK","AND",2006,-6.30390817024708,1.56212138506775e-05,17,"sig",-6.30390817024708,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"75","GSMACK","AND",2007,-9.42772979267269,8.14333980296306e-09,17,"sig",-9.42772979267269,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"76","GSMACK","AND",2008,-7.25604151532916,0.000158390188798367,18,"sig",-7.25604151532916,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"77","GSMACK","AND",2009,-6.95038222317808,8.48628973009078e-06,17,"sig",-6.95038222317808,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"78","GSMACK","AND",2010,-7.61580905237208,1.9002900988504e-05,18,"sig",-7.61580905237208,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"79","GSMACK","AND",2011,-7.57660791644714,2.13268182958408e-10,16,"sig",-7.57660791644714,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"80","GSMACK","AND",2012,-7.17389458163208,8.547518855327e-05,17,"sig",-7.17389458163208,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"81","GSMACK","AND",2013,-6.64717397215098,0.000463455522377076,17,"sig",-6.64717397215098,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"82","GSMACK","AND",2014,-6.37432032146193,3.40917383432048e-06,17,"sig",-6.37432032146193,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"83","GSMACK","AND",2015,-7.48670039740256,3.10313952854605e-05,18,"sig",-7.48670039740256,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"84","GSMACK","AND",2016,-9.62279598931985,3.26215091307506e-06,17,"sig",-9.62279598931985,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"85","GSMACK","AND",2017,-6.59606959323057,0.000222987458895288,17,"sig",-6.59606959323057,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"86","GSMACK","AND",2018,-7.26322298321386,2.07456168789637e-08,18,"sig",-7.26322298321386,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"87","GSWS02","AND",1983,-17.0059752627803,0.00351294651687914,14,"sig",-17.0059752627803,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"88","GSWS02","AND",1984,-23.4938766406884,0.000511819689396536,18,"sig",-23.4938766406884,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"89","GSWS02","AND",1986,-12.9517270749473,0.0140047487833431,17,"sig",-12.9517270749473,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"90","GSWS02","AND",1987,-18.7085031499775,0.000434247757598283,16,"sig",-18.7085031499775,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"91","GSWS02","AND",1988,-13.2754168686519,0.00174409022097988,19,"sig",-13.2754168686519,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"92","GSWS02","AND",1989,-21.0515110402151,4.47410875586412e-09,19,"sig",-21.0515110402151,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"93","GSWS02","AND",1991,-25.4616091100718,2.01344107713617e-05,18,"sig",-25.4616091100718,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"94","GSWS02","AND",1992,-23.379346185053,2.93482333656988e-07,18,"sig",-23.379346185053,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"95","GSWS02","AND",1993,-14.4138632837898,0.000561356380196684,17,"sig",-14.4138632837898,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"96","GSWS02","AND",1994,-16.646703505399,1.40611996176441e-07,17,"sig",-16.646703505399,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"97","GSWS02","AND",1995,-14.452307650482,1.65893288835117e-05,18,"sig",-14.452307650482,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"98","GSWS02","AND",1996,-12.3705522613703,0.000263335442377411,19,"sig",-12.3705522613703,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"99","GSWS02","AND",1997,-12.8405708853464,0.00059008777194729,18,"sig",-12.8405708853464,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"100","GSWS02","AND",1998,-12.7909559288488,3.77785586345544e-06,17,"sig",-12.7909559288488,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"101","GSWS02","AND",1999,-14.8819551503526,5.08172628979978e-07,17,"sig",-14.8819551503526,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"102","GSWS02","AND",2000,-16.0274983599348,8.07503710944721e-06,18,"sig",-16.0274983599348,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"103","GSWS02","AND",2001,-16.3094968635102,7.52766014861034e-08,17,"sig",-16.3094968635102,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"104","GSWS02","AND",2002,-17.6865223586095,3.36677977243917e-06,17,"sig",-17.6865223586095,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"105","GSWS02","AND",2003,-13.3356156913789,1.45313559063804e-05,17,"sig",-13.3356156913789,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"106","GSWS02","AND",2004,-14.8429646326033,0.00017127600542631,17,"sig",-14.8429646326033,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"107","GSWS02","AND",2005,-19.295560970642,2.30782339951878e-05,18,"sig",-19.295560970642,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"108","GSWS02","AND",2006,-16.4146027747936,5.63736173361243e-08,17,"sig",-16.4146027747936,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"109","GSWS02","AND",2007,-18.6228460487123,1.63036215753403e-06,17,"sig",-18.6228460487123,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"110","GSWS02","AND",2008,-14.6896440814266,0.000445195712348845,18,"sig",-14.6896440814266,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"111","GSWS02","AND",2009,-14.228160507694,2.37552401815409e-06,17,"sig",-14.228160507694,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"112","GSWS02","AND",2010,-18.213476406375,0.000103055739148146,18,"sig",-18.213476406375,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"113","GSWS02","AND",2011,-15.5154955924063,4.36387776138351e-07,17,"sig",-15.5154955924063,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"114","GSWS02","AND",2012,-14.3002896731172,2.43055129818173e-05,17,"sig",-14.3002896731172,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"115","GSWS02","AND",2013,-12.5735263404429,0.000120287199904851,18,"sig",-12.5735263404429,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"116","GSWS02","AND",2014,-14.5230365966194,4.80471944283605e-06,17,"sig",-14.5230365966194,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"117","GSWS02","AND",2015,-15.458817437039,4.12827515986008e-05,17,"sig",-15.458817437039,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"118","GSWS02","AND",2016,-22.6456800483118,0.000686433584357786,16,"sig",-22.6456800483118,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"119","GSWS02","AND",2017,-9.73271096681582,0.00108708982897166,17,"sig",-9.73271096681582,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"120","GSWS02","AND",2018,-16.0407622356558,6.27116278948119e-07,18,"sig",-16.0407622356558,0.0288523254510822,-73.4745557549709,0.255612513283268,"not sig",34
"121","GSWS06","AND",1983,-6.18535896428558,0.00425849559510415,17,"sig",-6.18535896428558,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"122","GSWS06","AND",1984,-19.8454494275659,3.58376070856825e-05,18,"sig",-19.8454494275659,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"123","GSWS06","AND",1985,-15.4386391658446,0.00215491090204985,18,"sig",-15.4386391658446,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"124","GSWS06","AND",1986,-16.4971953554536,0.00103275219966573,17,"sig",-16.4971953554536,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"125","GSWS06","AND",1987,-19.7009989956012,0.000213103099565892,8,"sig",-19.7009989956012,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"126","GSWS06","AND",2003,-24.722769111468,5.48069812743812e-07,18,"sig",-24.722769111468,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"127","GSWS06","AND",2004,-26.0725473351078,9.59293109862764e-08,17,"sig",-26.0725473351078,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"128","GSWS06","AND",2005,-34.1634457336967,1.92933874739645e-07,18,"sig",-34.1634457336967,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"129","GSWS06","AND",2006,-25.7669844914855,1.79424034060052e-08,17,"sig",-25.7669844914855,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"130","GSWS06","AND",2007,-32.8534434665376,1.52673078807565e-07,17,"sig",-32.8534434665376,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"131","GSWS06","AND",2008,-33.0117112647978,0.000156060966517765,18,"sig",-33.0117112647978,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"132","GSWS06","AND",2009,-27.969945973948,1.01333652854359e-07,17,"sig",-27.969945973948,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"133","GSWS06","AND",2010,-31.3165069258746,6.61857627553811e-09,18,"sig",-31.3165069258746,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"134","GSWS06","AND",2011,-25.3665092680699,2.49761577613685e-09,17,"sig",-25.3665092680699,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"135","GSWS06","AND",2012,-20.8104088789058,1.37066754945752e-06,17,"sig",-20.8104088789058,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"136","GSWS06","AND",2013,-26.3037728349827,5.48541312085105e-07,18,"sig",-26.3037728349827,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"137","GSWS06","AND",2016,-46.3689536739322,1.80645980251898e-06,17,"sig",-46.3689536739322,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"138","GSWS06","AND",2017,-18.3730669085599,6.97621635822182e-05,17,"sig",-18.3730669085599,-0.440441655106712,855.456569701436,0.0209593313524363,"sig",18
"139","GSWS07","AND",2002,-12.0108438329432,7.64852735857341e-07,14,"sig",-12.0108438329432,0.159566707856539,-331.189498625053,0.02667236328125,"sig",17
"140","GSWS07","AND",2003,-11.6968811030539,1.14037353753529e-07,18,"sig",-11.6968811030539,0.159566707856539,-331.189498625053,0.02667236328125,"sig",17
"141","GSWS07","AND",2004,-10.0122498791384,5.29270254251029e-06,17,"sig",-10.0122498791384,0.159566707856539,-331.189498625053,0.02667236328125,"sig",17
"142","GSWS07","AND",2005,-15.3245721374679,5.67566919944684e-08,18,"sig",-15.3245721374679,0.159566707856539,-331.189498625053,0.02667236328125,"sig",17
"143","GSWS07","AND",2006,-10.310373724865,1.01834850153144e-07,17,"sig",-10.310373724865,0.159566707856539,-331.189498625053,0.02667236328125,"sig",17
